Brand Name,Building Num,Street Name,Quadrant,Postal Code,Neighborhood,Sector,Verified Address
ACE Coffee Roasters,10055,80 Ave,NW,T6E 1T4,Ritchie,Mature Area,10055 80 Ave NW
ACE Coffee Roasters,11053,86 Ave,NW,T6G 0X1,Garneau,Mature Area,11053 86 Ave NW
ACE Coffee Roasters,3696,97 St,NW,T6E 5S8,South Industrial,Mature Area,3696 97 St NW
Anvil Coffee House,6148,90 Ave,NW,T6B 0P2,Ottewell,Mature Area,6148 90 Ave NW
Awake Coffee House,11029,9 Ave,NW,T6J 6T5,Twin Brooks,Southwest Sector,11029 9 Ave NW
Bar Oro Caffe and Roastery,10550,Jasper Ave,--,T5J 1H3,Downtown,Mature Area,10550 Jasper Ave
Bean Around The World,10510,111 St,NW,T5H 0M8,Queen Mary Park,Mature Area,10510 111 St NW
Block 1912 Cafe,10361,82 Ave,NW,T6E 1Z9,Strathcona,Mature Area,10361 82 Ave NW
Boxcar Coffee Shop,11926,129 Ave,NW,T5E 0N1,Calder,North Sector,11926 129 Ave NW
Brew+Bloom,10550,115 St,NW,T5H 3K6,Queen Mary Park,Mature Area,10550 115 St NW
Brio Bakery,12021,102 Ave,NW,T5K 0R8,Oliver (Wihkwentowin),Mature Area,12021 102 Ave NW
Brown Butter Cafe,1528,91 St,SW,T6X 1M5,Summerside,Southwest Sector,1528 91 St SW
Cafe Bicyclette,8627,91 St,NW,T6C 3N1,Bonnie Doon,Mature Area,8627 91 St NW
Cafe Sol,9911,72 Ave,NW,T6E 0Z2,Ritchie,Mature Area,9911 72 Ave NW
Cat Cafe on Whyte,10111,82 Ave,NW,T6E 1Z5,Strathcona,Mature Area,10111 82 Ave NW
Coffee Bureau,10505,Jasper Ave,--,T5J 1Z4,Downtown,Mature Area,10505 Jasper Ave
Coffee Bureau,12316,102 Ave,NW,T5N 3S3,Oliver (Wihkwentowin),Mature Area,12316 102 Ave NW
Common Ground,2727,182 St,SW,T6W 3R2,Keswick,Southwest Sector,2727 182 St SW
Credo Coffee,10134,104 St,NW,T5J 1A7,Downtown,Mature Area,10134 104 St NW
Crum Coffee Bar,4640,Calgary Trail,NW,T6H 6A1,Empire Park,Southwest Sector,4640 Calgary Trail NW
Dirtbag Cafe,10505,107 St,NW,T5H 2Y5,Central McDougall,Mature Area,10505 107 St NW
District Cafe & Bakery,10011,109 St,NW,T5J 0B9,Downtown,Mature Area,10011 109 St NW
Duchess Bake Shop,10718,124 St,NW,T5M 0H1,Westmount,Mature Area,10718 124 St NW
Duchess Bake Shop,9570,76 Ave,NW,T6C 0K2,Ritchie,Mature Area,9570 76 Ave NW
Farrow,8422,109 St,NW,T6G 1E2,Garneau,Mature Area,8422 109 St NW
Farrow,9855,76 Ave,NW,T6E 1K6,Ritchie,Mature Area,9855 76 Ave NW
Farrow,10240,124 St,NW,T5N 3W6,Oliver (Wihkwentowin),Mature Area,10240 124 St NW
Farrow,10542,Jasper Ave,--,T5J 1Z7,Downtown,Mature Area,10542 Jasper Ave
Felice Cafe,10930,84 St,NW,T5H 1M5,Stadium / Cromdale,Mature Area,10930 84 St NW
Good Earth Coffeehouse,10147,124 St,NW,T5N 1P5,Westmount,Mature Area,10147 124 St NW
Good Earth Coffeehouse,9952,170 St,NW,T5T 5X4,West Edmonton Mall,West Sector,9952 170 St NW
Good Earth Coffeehouse,8440,112 St,NW,T6G 2B7,University (Hospital),Mature Area,8440 112 St NW
Hatch'd,8315,112 St,NW,T6G 2C8,University,Mature Area,8315 112 St NW
Iconoclast Coffee Roasters,12021,102 Ave,NW,T5K 0R8,Oliver (Wihkwentowin),Mature Area,12021 102 Ave NW
Java Cafe,10715,109 St,NW,T5H 3E8,Queen Mary Park,Mature Area,10715 109 St NW
Kaffa Roaster and Studio,10920,88 Ave,NW,T6G 0Z1,Garneau,Mature Area,10920 88 Ave NW
Kissa10,1643,Towne Centre Blvd,NW,T6R 3M9,Terwillegar,Southwest Sector,1643 Towne Centre Blvd NW
Krew Cafe,5722,111 St,NW,T6H 3G1,Lendrum Place,Southwest Sector,5722 111 St NW
La Bosco Bakery & Cafe,10413,79 Ave,NW,T6E 1R7,Queen Alexandra,Mature Area,10413 79 Ave NW
Leonardo's,9908,112 St,NW,T5K 1L7,Oliver (Wihkwentowin),Mature Area,9908 112 St NW
Liberta Coffee Lab,6547,99 St,NW,T6E 3P6,Hazeldean,Mature Area,6547 99 St NW
Little BonBon,9660,106 Ave,NW,T5H 0N4,McCauley,Mature Area,9660 106 Ave NW
Little Brick,10004,90 St,NW,T5H 4P4,Riverdale,Mature Area,10004 90 St NW
Lui-Chi's Coffee,10020,101A Ave,NW,T5J 3G2,Downtown,Mature Area,10020 101A Ave NW
Malina Cafe,10350,124 St,NW,T5N 3V9,Oliver (Wihkwentowin),Mature Area,10350 124 St NW
Mokha Coffee House,5344,Admiral Girouard St,NW,T5X 3N5,Griesbach,Northwest Sector,5344 Admiral Girouard St NW
Monacci Coffeehouse,2055,163 St,SW,T6W 4V5,Glenridding Heights,Southwest Sector,2055 163 St SW
Nero Cafe,9947,82 Ave,NW,T6E 1Z4,Strathcona,Mature Area,9947 82 Ave NW
Qamaria Coffee,395,Parsons Rd,SW,T6X 0B4,Ellerslie,Southwest Sector,395 Parsons Rd SW
Reinette Cafe & Patisserie,301,Woodvale Rd,W,T6L 3Z7,Mill Woods,Southeast Sector,301 Woodvale Rd W
Remedy Cafe,8631,109 St,NW,T6G 1E8,Garneau,Mature Area,8631 109 St NW
Remedy Cafe,10479,82 Ave,NW,T6E 2A1,Strathcona,Mature Area,10479 82 Ave NW
Remedy Cafe,10310,124 St,NW,T5N 1R2,Oliver (Wihkwentowin),Mature Area,10310 124 St NW
Remedy Cafe,1707,Towne Centre Blvd,NW,T6R 3M9,Terwillegar,Southwest Sector,1707 Towne Centre Blvd NW
Remedy Cafe,5015,111 St,NW,T6H 4M6,Southgate,Southwest Sector,5015 111 St NW
Remedy Cafe,10104,103 Ave,NW,T5J 0H8,Downtown,Mature Area,10104 103 Ave NW
Remedy Cafe,11335,Saskatchewan Dr,NW,T6G 2M9,University,Mature Area,11335 Saskatchewan Dr NW
Respire Coffeehouse,3550,76 Ave,NW,T6B 2N8,Avonmore,Southeast Sector,3550 76 Ave NW
Roam Cafe,10130,112 St,NW,T5K 2K4,Oliver (Wihkwentowin),Mature Area,10130 112 St NW
Rogue Wave Coffee,11322,119 St,NW,T5G 0X4,Prince Rupert,North Sector,11322 119 St NW
Second Cup,7477,101 Ave,NW,T6A 3Z5,Capilano,Southeast Sector,7477 101 Ave NW
Second Cup,9832,22 Ave,NW,T6N 1K9,South Edmonton Common,Southwest Sector,9832 22 Ave NW
Second Cup,11128,142 St,NW,T5M 4G5,Coronation,Mature Area,11128 142 St NW
Second Cup,3414,Gateway Blvd,NW,T6J 6R5,Gateway,Southwest Sector,3414 Gateway Blvd NW
Second Cup,5225,167 Ave,NW,T5Y 0L2,Hollick Kenyon,Northwest Sector,5225 167 Ave NW
Second Cup,8882,170 St,NW,T5T 4J2,West Edmonton Mall,West Sector,8882 170 St NW
Second Cup,5360,Windermere Blvd,SW,T6W 0L9,Windermere,Southwest Sector,5360 Windermere Blvd SW
Second Cup,10200,102 Ave,NW,T5J 4B7,Downtown,Mature Area,10200 102 Ave NW
Second Cup,478,Riverbend Sq,NW,T6R 2X2,Riverbend,Southwest Sector,478 Riverbend Sq NW
Second Cup,10834,Jasper Ave,NW,T5J 2B2,Downtown,Mature Area,10834 Jasper Ave NW
Second Cup,137,Ave & 66 St,NW,T5C 3C8,Londonderry,Northeast Sector,137 Ave & 66 St
